LineNo,ExportDateTime,BRVersion,Cube,User,Entity,Parent,Cons,Scenario,Time,View,Account,Flow,Origin,IC,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,Amount
1,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A65800","Input","Import","None","D410","CTY241","None","None","None","None","None","None",13657.362583333
2,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","Sub_Payers","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",34878.000000000
3,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","Ending_PMC","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",29239.000000000
4,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","MAU_28D","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",299141.000000000
5,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","Net_Adds","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",862.000000000
6,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","Reg_Pool_1_to_11","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",2109779.000000000
7,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","Registrations","Input","Import","None","D100","CTY241","None","PLT100","Ch7000","None","None","None",107597.000000000
8,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A65800","Input","Import","None","D420","CTY241","None","None","None","None","None","None",4261.974520834
9,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64000","Input","Import","None","D350","CTY241","None","PLT100","None","None","None","None",3273.881325000
10,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","NewHire","Input","Import","None","D400","CTY241","None","None","None","None","None","None",0.000000000
11,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","Registrations","Input","Import","None","D100","CTY241","None","PLT100","Ch7410","None","None","None",126814.000000000
12,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64000","Input","Import","None","D400","CTY241","None","PLT100","None","None","None","None",15325.338760000
13,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","NewHire","Input","Import","None","D325","CTY241","None","None","None","None","None","None",0.000000000
14,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A67000","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",45289.000000000
15,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64000","Input","Import","None","D410","CTY241","None","PLT100","None","None","None","None",16388.835100000
16,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64000","Input","Import","None","D420","CTY241","None","PLT100","None","None","None","None",4721.119425000
17,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64000","Input","Import","None","D115","CTY241","None","PLT100","None","None","None","None",4239.073300000
18,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","Resubs","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",2308.000000000
19,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64000","Input","Import","None","D120","CTY241","None","PLT100","None","None","None","None",789.969125000
20,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","Non_Sub_ALC_Payers","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",256.000000000
21,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","Resubs_1_to_11","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",1195.000000000
22,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64000","Input","Import","None","D125","CTY241","None","PLT100","None","None","None","None",0.000000000
23,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","Starting_PMC","Input","Import","None","D100","CTY241","None","PLT100","None","None","None","None",28377.000000000
24,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","EndingHeadcount","Input","Import","None","D115","CTY241","None","None","None","None","None","None",14.000000000
25,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64000","Input","Import","None","D205","CTY241","None","PLT100","None","None","None","None",0.000000000
26,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","EndingHeadcount","Input","Import","None","D120","CTY241","None","None","None","None","None","None",1.000000000
27,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64000","Input","Import","None","D210","CTY241","None","PLT100","None","None","None","None",30109.499200000
28,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","StartingHeadcount","Input","Import","None","D115","CTY241","None","None","None","None","None","None",14.000000000
29,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","EndingHeadcount","Input","Import","None","D125","CTY241","None","None","None","None","None","None",1.000000000
30,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64000","Input","Import","None","D325","CTY241","None","PLT100","None","None","None","None",5884.431290000
31,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","StartingHeadcount","Input","Import","None","D120","CTY241","None","None","None","None","None","None",1.000000000
32,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","EndingHeadcount","Input","Import","None","D205","CTY241","None","None","None","None","None","None",2.000000000
33,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","StartingHeadcount","Input","Import","None","D125","CTY241","None","None","None","None","None","None",1.000000000
34,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64000","Input","Import","None","D340","CTY241","None","PLT100","None","None","None","None",13595.533600000
35,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","EndingHeadcount","Input","Import","None","D210","CTY241","None","None","None","None","None","None",5.000000000
36,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","StartingHeadcount","Input","Import","None","D205","CTY241","None","None","None","None","None","None",2.000000000
37,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","A64000","Input","Import","None","D340","CTY100","None","PLT100","None","None","None","None",0.000000000
38,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","EndingHeadcount","Input","Import","None","D325","CTY241","None","None","None","None","None","None",2.000000000
39,2026-07-09 17:46:50,"3.2","Finance","Jon Kunert","CO230","","BRL","Forecast_Jan2022","2022M1","Periodic","StartingHeadcount","Input","Import","None","D210","CTY241","None","None","None","None","None","None",5.000000000
